"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","557","Create user","LMS service","Sat Jun 21 16:39:22 GMT 2025","passed","Sat Jun 21 16:39:22 GMT 2025","Create entity","Users","",""
"","561","Create user","LMS service","Sat Jun 21 16:39:21 GMT 2025","passed","Sat Jun 21 16:39:22 GMT 2025","Create entity","Users","",""
"","305","Update course","LMS service","Sat Jun 21 16:39:15 GMT 2025","passed","Sat Jun 21 16:39:15 GMT 2025","Update entity","Courses","",""
"","297","Get courses","LMS service","Sat Jun 21 16:39:13 GMT 2025","passed","Sat Jun 21 16:39:14 GMT 2025","Get entities","Courses","",""
"","267","Create file with empty filename","LMS service","Sat Jun 21 16:39:20 GMT 2025","passed","Sat Jun 21 16:39:20 GMT 2025","Validate entity","Files","",""
"","276","Create file","LMS service","Sat Jun 21 16:39:19 GMT 2025","passed","Sat Jun 21 16:39:19 GMT 2025","Create entity","Files","",""
"","21","Delete file","LMS service","Sat Jun 21 16:39:21 GMT 2025","passed","Sat Jun 21 16:39:21 GMT 2025","Delete entity","Files","",""
"","51","Create file with empty directory","LMS service","Sat Jun 21 16:39:20 GMT 2025","passed","Sat Jun 21 16:39:20 GMT 2025","Validate entity","Files","",""
"","30","Create course","LMS service","Sat Jun 21 16:39:14 GMT 2025","passed","Sat Jun 21 16:39:14 GMT 2025","Create entity","Courses","",""
"","26","Create exercise","LMS service","Sat Jun 21 16:39:15 GMT 2025","passed","Sat Jun 21 16:39:15 GMT 2025","Create entity","Exercises","",""
"","19","Get file","LMS service","Sat Jun 21 16:39:19 GMT 2025","passed","Sat Jun 21 16:39:19 GMT 2025","Get entity","Files","",""
"","558","Create user","LMS service","Sat Jun 21 16:39:21 GMT 2025","passed","Sat Jun 21 16:39:22 GMT 2025","Create entity","Users","",""
"","13","Get user me","LMS service","Sat Jun 21 16:39:23 GMT 2025","passed","Sat Jun 21 16:39:23 GMT 2025","Get entity","Users","",""
"","21","Update exercise","LMS service","Sat Jun 21 16:39:16 GMT 2025","passed","Sat Jun 21 16:39:16 GMT 2025","Update entity","Exercises","",""
"","17","Get exercises","LMS service","Sat Jun 21 16:39:18 GMT 2025","passed","Sat Jun 21 16:39:18 GMT 2025","Get entities","Exercises","",""
"","20","Delete exercise","LMS service","Sat Jun 21 16:39:18 GMT 2025","passed","Sat Jun 21 16:39:18 GMT 2025","Delete entity","Exercises","",""
"","550","Login with correct email and password","LMS service","Sat Jun 21 16:39:13 GMT 2025","passed","Sat Jun 21 16:39:13 GMT 2025","Login","Authentication","",""
"","45","Get exercise","LMS service","Sat Jun 21 16:39:16 GMT 2025","passed","Sat Jun 21 16:39:16 GMT 2025","Get entity","Exercises","",""
"","20","Get file with incorrect file id","LMS service","Sat Jun 21 16:39:21 GMT 2025","passed","Sat Jun 21 16:39:21 GMT 2025","Validate entity","Files","",""
